f0           	 log10(rhophA) 	 log10(rhophB)
-1.00000000 	 -1.44806810 	 -1.44806771
-1.07692308 	 -1.53302528 	 -1.53302488
-1.15384615 	 -1.61896628 	 -1.61896587
-1.23076923 	 -1.70625424 	 -1.70625383
-1.30769231 	 -1.79532176 	 -1.79532133
-1.38461538 	 -1.88670127 	 -1.88670105
-1.46153846 	 -1.98106336 	 -1.98106313
-1.53846154 	 -2.07926325 	 -2.07926301
-1.61538462 	 -2.18237612 	 -2.18237587
-1.69230769 	 -2.29158525 	 -2.29158497
-1.76923077 	 -2.40736775 	 -2.40736745
-1.84615385 	 -2.52821094 	 -2.52821061
-1.92307692 	 -2.65176692 	 -2.65176656
-2.00000000 	 -2.77613342 	 -2.77613301
-2.07692308 	 -2.89975482 	 -2.89975448
-2.15384615 	 -3.02125054 	 -3.02125016
-2.23076923 	 -3.13935717 	 -3.13935675
-2.30769231 	 -3.25292107 	 -3.25292084
-2.38461538 	 -3.36091918 	 -3.36091893
-2.46153846 	 -3.46248971 	 -3.46248945
-2.53846154 	 -3.55696504 	 -3.55696478
-2.61538462 	 -3.64389442 	 -3.64389415
-2.69230769 	 -3.72304924 	 -3.72304896
-2.76923077 	 -3.79441710 	 -3.79441683
-2.84615385 	 -3.85817533 	 -3.85817507
-2.92307692 	 -3.91465811 	 -3.91465786
-3.00000000 	 -3.96431699 	 -3.96431675
-3.07692308 	 -4.00768154 	 -4.00768132
-3.15384615 	 -4.04532415 	 -4.04532375
-3.23076923 	 -4.07782877 	 -4.07782841
-3.30769231 	 -4.10577003 	 -4.10576971
-3.38461538 	 -4.12969450 	 -4.12969412
-3.46153846 	 -4.15011079 	 -4.15011046
-3.53846154 	 -4.16748311 	 -4.16748282
-3.61538462 	 -4.18222968 	 -4.18222943
-3.69230769 	 -4.19472093 	 -4.19472071
-3.76923077 	 -4.20528306 	 -4.20528269
-3.84615385 	 -4.21420116 	 -4.21420084
-3.92307692 	 -4.22172133 	 -4.22172098
-4.00000000 	 -4.22805593 	 -4.22805564
-4.05555556 	 -4.23199747 	 -4.23199721
-4.11111111 	 -4.23547626 	 -4.23547582
-4.16666667 	 -4.23854527 	 -4.23854488
-4.22222222 	 -4.24125187 	 -4.24125153
-4.27777778 	 -4.24363846 	 -4.24363816
-4.33333333 	 -4.24574230 	 -4.24574207
-4.38888889 	 -4.24759629 	 -4.24759588
-4.44444444 	 -4.24922998 	 -4.24922963
-4.50000000 	 -4.25066924 	 -4.25066898
