f0           	 log10(rhophA) 	 log10(rhophB)
-0.00010000 	 -0.08634054 	 -0.08634028
-0.00010975 	 -0.07697810 	 -0.07697785
-0.00012045 	 -0.06779555 	 -0.06779531
-0.00013219 	 -0.05880464 	 -0.05880441
-0.00014508 	 -0.05000937 	 -0.05000915
-0.00015923 	 -0.04142236 	 -0.04142193
-0.00017475 	 -0.03306144 	 -0.03306103
-0.00019179 	 -0.02492904 	 -0.02492865
-0.00021049 	 -0.01704145 	 -0.01704108
-0.00023101 	 -0.00941123 	 -0.00941088
-0.00025354 	 -0.00204689 	 -0.00204655
-0.00027826 	 0.00503374  	 0.00503407 
-0.00030539 	 0.01181885  	 0.01181916 
-0.00033516 	 0.01829398  	 0.01829438 
-0.00036784 	 0.02444859  	 0.02444898 
-0.00040370 	 0.03026506  	 0.03026544 
-0.00044306 	 0.03573195  	 0.03573232 
-0.00048626 	 0.04083433  	 0.04083469 
-0.00053367 	 0.04555810  	 0.04555845 
-0.00058570 	 0.04988909  	 0.04988942 
-0.00064281 	 0.05381539  	 0.05381571 
-0.00070548 	 0.05732299  	 0.05732330 
-0.00077426 	 0.06040036  	 0.06040066 
-0.00084975 	 0.06303616  	 0.06303645 
-0.00093260 	 0.06522052  	 0.06522080 
-0.00102353 	 0.06694367  	 0.06694395 
-0.00112332 	 0.06819815  	 0.06819842 
-0.00123285 	 0.06897749  	 0.06897775 
-0.00135305 	 0.06927714  	 0.06927740 
-0.00148497 	 0.06909365  	 0.06909390 
-0.00162975 	 0.06842574  	 0.06842598 
-0.00178865 	 0.06727389  	 0.06727413 
-0.00196304 	 0.06564066  	 0.06564090 
-0.00215443 	 0.06352990  	 0.06353013 
-0.00236449 	 0.06094746  	 0.06094768 
-0.00259502 	 0.05790123  	 0.05790146 
-0.00284804 	 0.05439981  	 0.05440003 
-0.00312572 	 0.05045405  	 0.05045449 
-0.00343047 	 0.04607580  	 0.04607623 
-0.00376494 	 0.04127788  	 0.04127831 
-0.00413201 	 0.03607373  	 0.03607415 
-0.00453488 	 0.03047737  	 0.03047779 
-0.00497702 	 0.02450307  	 0.02450348 
-0.00546228 	 0.01816577  	 0.01816618 
-0.00599484 	 0.01147980  	 0.01148021 
-0.00657933 	 0.00445916  	 0.00445955 
-0.00722081 	 -0.00288242 	 -0.00288203
-0.00792483 	 -0.01053254 	 -0.01053214
-0.00869749 	 -0.01847870 	 -0.01847831
-0.00954548 	 -0.02671082 	 -0.02671043
-0.01047616 	 -0.03521869 	 -0.03521830
-0.01149757 	 -0.04399410 	 -0.04399371
-0.01261857 	 -0.05303003 	 -0.05302964
-0.01384886 	 -0.06232160 	 -0.06232122
-0.01519911 	 -0.07186498 	 -0.07186460
-0.01668101 	 -0.08165818 	 -0.08165780
-0.01830738 	 -0.09170080 	 -0.09170043
-0.02009233 	 -0.10199487 	 -0.10199449
-0.02205131 	 -0.11254393 	 -0.11254355
-0.02420128 	 -0.12335421 	 -0.12335383
-0.02656088 	 -0.13443333 	 -0.13443295
-0.02915053 	 -0.14579194 	 -0.14579156
-0.03199267 	 -0.15744233 	 -0.15744195
-0.03511192 	 -0.16940029 	 -0.16939991
-0.03853529 	 -0.18168378 	 -0.18168340
-0.04229243 	 -0.19431320 	 -0.19431282
-0.04641589 	 -0.20731311 	 -0.20731273
-0.05094138 	 -0.22071091 	 -0.22071054
-0.05590810 	 -0.23453758 	 -0.23453721
-0.06135907 	 -0.24882754 	 -0.24882716
-0.06734151 	 -0.26362015 	 -0.26361978
-0.07390722 	 -0.27895929 	 -0.27895891
-0.08111308 	 -0.29489312 	 -0.29489274
-0.08902151 	 -0.31147596 	 -0.31147559
-0.09770100 	 -0.32876768 	 -0.32876731
-0.10722672 	 -0.34683462 	 -0.34683425
-0.11768120 	 -0.36575033 	 -0.36574996
-0.12915497 	 -0.38559641 	 -0.38559604
-0.14174742 	 -0.40646309 	 -0.40646272
-0.15556761 	 -0.42844922 	 -0.42844885
-0.17073526 	 -0.45166547 	 -0.45166510
-0.18738174 	 -0.47623348 	 -0.47623311
-0.20565123 	 -0.50228735 	 -0.50228698
-0.22570197 	 -0.52997605 	 -0.52997568
-0.24770764 	 -0.55946408 	 -0.55946371
-0.27185882 	 -0.59093446 	 -0.59093409
-0.29836472 	 -0.62458869 	 -0.62458832
-0.32745492 	 -0.66065194 	 -0.66065157
-0.35938137 	 -0.69937261 	 -0.69937224
-0.39442061 	 -0.74102961 	 -0.74102924
-0.43287613 	 -0.78593275 	 -0.78593238
-0.47508102 	 -0.83442914 	 -0.83442877
-0.52140083 	 -0.88690954 	 -0.88690916
-0.57223677 	 -0.94381520 	 -0.94381482
-0.62802914 	 -1.00564715 	 -1.00564677
-0.68926121 	 -1.07298123 	 -1.07298085
-0.75646333 	 -1.14648489 	 -1.14648451
-0.83021757 	 -1.22694552 	 -1.22694514
-0.91116276 	 -1.31531014 	 -1.31530975
-1.00000000 	 -1.41275172 	 -1.41275133
