f0           	 log10(rhophA) 	 log10(rhophB)
-3.70000000 	 -4.32822510 	 -4.32822467
-3.72051282 	 -4.33129879 	 -4.33129837
-3.74102564 	 -4.33423774 	 -4.33423734
-3.76153846 	 -4.33704796 	 -4.33704758
-3.78205128 	 -4.33973436 	 -4.33973399
-3.80256410 	 -4.34230205 	 -4.34230169
-3.82307692 	 -4.34475668 	 -4.34475634
-3.84358974 	 -4.34710249 	 -4.34710216
-3.86410256 	 -4.34934410 	 -4.34934379
-3.88461538 	 -4.35148628 	 -4.35148598
-3.90512821 	 -4.35353306 	 -4.35353277
-3.92564103 	 -4.35548838 	 -4.35548804
-3.94615385 	 -4.35735634 	 -4.35735601
-3.96666667 	 -4.35914103 	 -4.35914072
-3.98717949 	 -4.36084573 	 -4.36084542
-4.00769231 	 -4.36247368 	 -4.36247339
-4.02820513 	 -4.36402877 	 -4.36402849
-4.04871795 	 -4.36551384 	 -4.36551357
-4.06923077 	 -4.36693223 	 -4.36693198
-4.08974359 	 -4.36828654 	 -4.36828630
-4.11025641 	 -4.36957977 	 -4.36957954
-4.13076923 	 -4.37081474 	 -4.37081432
-4.15128205 	 -4.37199372 	 -4.37199331
-4.17179487 	 -4.37311926 	 -4.37311887
-4.19230769 	 -4.37419405 	 -4.37419368
-4.21282051 	 -4.37521968 	 -4.37521933
-4.23333333 	 -4.37619930 	 -4.37619896
-4.25384615 	 -4.37713414 	 -4.37713382
-4.27435897 	 -4.37802646 	 -4.37802615
-4.29487179 	 -4.37887849 	 -4.37887819
-4.31538462 	 -4.37969149 	 -4.37969125
-4.33589744 	 -4.38046762 	 -4.38046739
-4.35641026 	 -4.38120815 	 -4.38120793
-4.37692308 	 -4.38191546 	 -4.38191504
-4.39743590 	 -4.38259002 	 -4.38258962
-4.41794872 	 -4.38323393 	 -4.38323355
-4.43846154 	 -4.38384829 	 -4.38384792
-4.45897436 	 -4.38443471 	 -4.38443436
-4.47948718 	 -4.38499460 	 -4.38499427
-4.50000000 	 -4.38552858 	 -4.38552832
