f0           	 log10(rhophA) 	 log10(rhophB)
-3.70000000 	 -5.11302237 	 -5.11302214
-3.72051282 	 -5.11700492 	 -5.11700470
-3.74102564 	 -5.12081612 	 -5.12081570
-3.76153846 	 -5.12446274 	 -5.12446234
-3.78205128 	 -5.12795167 	 -5.12795128
-3.80256410 	 -5.13128858 	 -5.13128821
-3.82307692 	 -5.13448038 	 -5.13448002
-3.84358974 	 -5.13753258 	 -5.13753224
-3.86410256 	 -5.14045128 	 -5.14045095
-3.88461538 	 -5.14324180 	 -5.14324148
-3.90512821 	 -5.14590951 	 -5.14590920
-3.92564103 	 -5.14845983 	 -5.14845954
-3.94615385 	 -5.15089719 	 -5.15089691
-3.96666667 	 -5.15322664 	 -5.15322630
-3.98717949 	 -5.15545291 	 -5.15545258
-4.00769231 	 -5.15758025 	 -5.15757994
-4.02820513 	 -5.15961287 	 -5.15961258
-4.04871795 	 -5.16155465 	 -5.16155436
-4.06923077 	 -5.16341000 	 -5.16340972
-4.08974359 	 -5.16518205 	 -5.16518179
-4.11025641 	 -5.16687494 	 -5.16687469
-4.13076923 	 -5.16849199 	 -5.16849175
-4.15128205 	 -5.17003638 	 -5.17003615
-4.17179487 	 -5.17151105 	 -5.17151063
-4.19230769 	 -5.17291989 	 -5.17291949
-4.21282051 	 -5.17426491 	 -5.17426453
-4.23333333 	 -5.17554899 	 -5.17554862
-4.25384615 	 -5.17677534 	 -5.17677499
-4.27435897 	 -5.17794614 	 -5.17794580
-4.29487179 	 -5.17906412 	 -5.17906379
-4.31538462 	 -5.18013127 	 -5.18013096
-4.33589744 	 -5.18115022 	 -5.18114993
-4.35641026 	 -5.18212275 	 -5.18212251
-4.37692308 	 -5.18305120 	 -5.18305097
-4.39743590 	 -5.18393755 	 -5.18393733
-4.41794872 	 -5.18478352 	 -5.18478310
-4.43846154 	 -5.18559110 	 -5.18559070
-4.45897436 	 -5.18636214 	 -5.18636175
-4.47948718 	 -5.18709773 	 -5.18709737
-4.50000000 	 -5.18779951 	 -5.18779916
