f0           	 log10(rhophA) 	 log10(rhophB)
-3.70000000 	 -4.37639124 	 -4.37639102
-3.72051282 	 -4.37951389 	 -4.37951347
-3.74102564 	 -4.38250024 	 -4.38249983
-3.76153846 	 -4.38535531 	 -4.38535492
-3.78205128 	 -4.38808502 	 -4.38808465
-3.80256410 	 -4.39069427 	 -4.39069391
-3.82307692 	 -4.39318854 	 -4.39318820
-3.84358974 	 -4.39557223 	 -4.39557190
-3.86410256 	 -4.39785043 	 -4.39785012
-3.88461538 	 -4.40002738 	 -4.40002708
-3.90512821 	 -4.40210754 	 -4.40210725
-3.92564103 	 -4.40409473 	 -4.40409438
-3.94615385 	 -4.40599351 	 -4.40599318
-3.96666667 	 -4.40780694 	 -4.40780663
-3.98717949 	 -4.40953970 	 -4.40953940
-4.00769231 	 -4.41119449 	 -4.41119420
-4.02820513 	 -4.41277527 	 -4.41277499
-4.04871795 	 -4.41428467 	 -4.41428440
-4.06923077 	 -4.41572638 	 -4.41572613
-4.08974359 	 -4.41710303 	 -4.41710279
-4.11025641 	 -4.41841763 	 -4.41841740
-4.13076923 	 -4.41967291 	 -4.41967249
-4.15128205 	 -4.42087156 	 -4.42087115
-4.17179487 	 -4.42201592 	 -4.42201554
-4.19230769 	 -4.42310847 	 -4.42310810
-4.21282051 	 -4.42415132 	 -4.42415097
-4.23333333 	 -4.42514703 	 -4.42514669
-4.25384615 	 -4.42609730 	 -4.42609698
-4.27435897 	 -4.42700477 	 -4.42700446
-4.29487179 	 -4.42787082 	 -4.42787052
-4.31538462 	 -4.42869735 	 -4.42869711
-4.33589744 	 -4.42948634 	 -4.42948611
-4.35641026 	 -4.43023939 	 -4.43023917
-4.37692308 	 -4.43095840 	 -4.43095798
-4.39743590 	 -4.43164445 	 -4.43164404
-4.41794872 	 -4.43229878 	 -4.43229840
-4.43846154 	 -4.43292381 	 -4.43292345
-4.45897436 	 -4.43352012 	 -4.43351977
-4.47948718 	 -4.43408892 	 -4.43408858
-4.50000000 	 -4.43463213 	 -4.43463187
