f0           	 log10(rhophA) 	 log10(rhophB)
-3.70000000 	 -4.18971956 	 -4.18971913
-3.72051282 	 -4.19265629 	 -4.19265588
-3.74102564 	 -4.19546461 	 -4.19546422
-3.76153846 	 -4.19814902 	 -4.19814864
-3.78205128 	 -4.20071498 	 -4.20071462
-3.80256410 	 -4.20316774 	 -4.20316739
-3.82307692 	 -4.20551171 	 -4.20551137
-3.84358974 	 -4.20775169 	 -4.20775136
-3.86410256 	 -4.20989220 	 -4.20989189
-3.88461538 	 -4.21193730 	 -4.21193700
-3.90512821 	 -4.21389130 	 -4.21389102
-3.92564103 	 -4.21575814 	 -4.21575780
-3.94615385 	 -4.21754096 	 -4.21754064
-3.96666667 	 -4.21924442 	 -4.21924411
-3.98717949 	 -4.22087141 	 -4.22087111
-4.00000000 	 -4.22185093 	 -4.22185064
-4.00769231 	 -4.22242518 	 -4.22242490
-4.02820513 	 -4.22390907 	 -4.22390880
-4.04871795 	 -4.22532626 	 -4.22532600
-4.05555556 	 -4.22578440 	 -4.22578415
-4.06923077 	 -4.22667966 	 -4.22667941
-4.08974359 	 -4.22797175 	 -4.22797151
-4.11025641 	 -4.22920572 	 -4.22920529
-4.11111111 	 -4.22925573 	 -4.22925530
-4.13076923 	 -4.23038375 	 -4.23038333
-4.15128205 	 -4.23150833 	 -4.23150793
-4.16666667 	 -4.23231833 	 -4.23231795
-4.17179487 	 -4.23258209 	 -4.23258171
-4.19230769 	 -4.23360722 	 -4.23360686
-4.21282051 	 -4.23458595 	 -4.23458561
-4.22222222 	 -4.23501954 	 -4.23501920
-4.23333333 	 -4.23552000 	 -4.23551967
-4.25384615 	 -4.23641196 	 -4.23641164
-4.27435897 	 -4.23726311 	 -4.23726281
-4.27777778 	 -4.23740094 	 -4.23740064
-4.29487179 	 -4.23807545 	 -4.23807520
-4.31538462 	 -4.23885087 	 -4.23885064
-4.33333333 	 -4.23950037 	 -4.23950014
-4.33589744 	 -4.23959090 	 -4.23959068
-4.35641026 	 -4.24029733 	 -4.24029690
-4.37692308 	 -4.24097148 	 -4.24097107
-4.38888889 	 -4.24135071 	 -4.24135031
-4.39743590 	 -4.24161496 	 -4.24161456
-4.41794872 	 -4.24222913 	 -4.24222876
-4.43846154 	 -4.24281507 	 -4.24281471
-4.44444444 	 -4.24298081 	 -4.24298045
-4.45897436 	 -4.24337436 	 -4.24337401
-4.47948718 	 -4.24390795 	 -4.24390768
-4.50000000 	 -4.24441717 	 -4.24441692
