f0           	 log10(rhophA) 	 log10(rhophB)
-3.70000000 	 -4.42129038 	 -4.42129016
-3.72051282 	 -4.42445963 	 -4.42445921
-3.74102564 	 -4.42749047 	 -4.42749007
-3.76153846 	 -4.43038837 	 -4.43038798
-3.78205128 	 -4.43315906 	 -4.43315869
-3.80256410 	 -4.43580766 	 -4.43580730
-3.82307692 	 -4.43833948 	 -4.43833913
-3.84358974 	 -4.44075908 	 -4.44075876
-3.86410256 	 -4.44307174 	 -4.44307143
-3.88461538 	 -4.44528181 	 -4.44528151
-3.90512821 	 -4.44739327 	 -4.44739298
-3.92564103 	 -4.44941094 	 -4.44941066
-3.94615385 	 -4.45133867 	 -4.45133833
-3.96666667 	 -4.45318013 	 -4.45317981
-3.98717949 	 -4.45493911 	 -4.45493881
-4.00769231 	 -4.45661938 	 -4.45661908
-4.02820513 	 -4.45822409 	 -4.45822381
-4.04871795 	 -4.45975683 	 -4.45975656
-4.06923077 	 -4.46122078 	 -4.46122053
-4.08974359 	 -4.46261863 	 -4.46261839
-4.11025641 	 -4.46395344 	 -4.46395321
-4.13076923 	 -4.46522815 	 -4.46522772
-4.15128205 	 -4.46644515 	 -4.46644474
-4.17179487 	 -4.46760710 	 -4.46760671
-4.19230769 	 -4.46871665 	 -4.46871627
-4.21282051 	 -4.46977566 	 -4.46977530
-4.23333333 	 -4.47078685 	 -4.47078651
-4.25384615 	 -4.47175205 	 -4.47175172
-4.27435897 	 -4.47267335 	 -4.47267304
-4.29487179 	 -4.47355287 	 -4.47355257
-4.31538462 	 -4.47439239 	 -4.47439214
-4.33589744 	 -4.47519357 	 -4.47519334
-4.35641026 	 -4.47595846 	 -4.47595824
-4.37692308 	 -4.47668873 	 -4.47668831
-4.39743590 	 -4.47738523 	 -4.47738482
-4.41794872 	 -4.47805019 	 -4.47804981
-4.43846154 	 -4.47868463 	 -4.47868426
-4.45897436 	 -4.47929041 	 -4.47929005
-4.47948718 	 -4.47986811 	 -4.47986778
-4.50000000 	 -4.48041959 	 -4.48041933
