f0           	 log10(rhophA) 	 log10(rhophB)
-1.00000000 	 -1.41781648 	 -1.41781609
-1.07692308 	 -1.50290001 	 -1.50289961
-1.15384615 	 -1.58899668 	 -1.58899628
-1.23076923 	 -1.67647809 	 -1.67647767
-1.30769231 	 -1.76578686 	 -1.76578643
-1.38461538 	 -1.85746941 	 -1.85746919
-1.46153846 	 -1.95221565 	 -1.95221542
-1.53846154 	 -2.05090550 	 -2.05090526
-1.61538462 	 -2.15464093 	 -2.15464067
-1.69230769 	 -2.26459769 	 -2.26459741
-1.76923077 	 -2.38109365 	 -2.38109335
-1.84615385 	 -2.50242470 	 -2.50242437
-1.92307692 	 -2.62626682 	 -2.62626644
-2.00000000 	 -2.75077004 	 -2.75076973
-2.07692308 	 -2.87440595 	 -2.87440560
-2.15384615 	 -2.99581065 	 -2.99581026
-2.23076923 	 -3.11373254 	 -3.11373212
-2.30769231 	 -3.22702966 	 -3.22702943
-2.38461538 	 -3.33469059 	 -3.33469035
-2.46153846 	 -3.43586729 	 -3.43586703
-2.53846154 	 -3.52990715 	 -3.52990688
-2.61538462 	 -3.61637399 	 -3.61637371
-2.69230769 	 -3.69505565 	 -3.69505538
-2.76923077 	 -3.76595231 	 -3.76595203
-2.84615385 	 -3.82925337 	 -3.82925310
-2.92307692 	 -3.88530190 	 -3.88530165
-3.00000000 	 -3.93455653 	 -3.93455629
-3.07692308 	 -3.97755023 	 -3.97755002
-3.15384615 	 -4.01485749 	 -4.01485709
-3.23076923 	 -4.04706260 	 -4.04706224
-3.30769231 	 -4.07473876 	 -4.07473843
-3.38461538 	 -4.09843097 	 -4.09843059
-3.46153846 	 -4.11864485 	 -4.11864451
-3.53846154 	 -4.13584210 	 -4.13584180
-3.61538462 	 -4.15043792 	 -4.15043766
-3.69230769 	 -4.16279994 	 -4.16279973
-3.76923077 	 -4.17325181 	 -4.17325144
-3.84615385 	 -4.18207612 	 -4.18207581
-3.92307692 	 -4.18951646 	 -4.18951612
-4.00000000 	 -4.19578335 	 -4.19578306
