f0           	 log10(rhophA) 	 log10(rhophB)
-1.00000000 	 -1.41659983 	 -1.41659943
-1.07692308 	 -1.50168844 	 -1.50168804
-1.15384615 	 -1.58779168 	 -1.58779127
-1.23076923 	 -1.67528047 	 -1.67528006
-1.30769231 	 -1.76459932 	 -1.76459890
-1.38461538 	 -1.85629417 	 -1.85629395
-1.46153846 	 -1.95105610 	 -1.95105587
-1.53846154 	 -2.04976591 	 -2.04976567
-1.61538462 	 -2.15352686 	 -2.15352661
-1.69230769 	 -2.26351367 	 -2.26351339
-1.76923077 	 -2.38003807 	 -2.38003777
-1.84615385 	 -2.50138828 	 -2.50138795
-1.92307692 	 -2.62524132 	 -2.62524095
-2.00000000 	 -2.74974977 	 -2.74974946
-2.07692308 	 -2.87338603 	 -2.87338569
-2.15384615 	 -2.99478686 	 -2.99478647
-2.23076923 	 -3.11270150 	 -3.11270108
-2.30769231 	 -3.22598780 	 -3.22598757
-2.38461538 	 -3.33363500 	 -3.33363475
-2.46153846 	 -3.43479577 	 -3.43479551
-2.53846154 	 -3.52881807 	 -3.52881780
-2.61538462 	 -3.61526641 	 -3.61526614
-2.69230769 	 -3.69392889 	 -3.69392861
-2.76923077 	 -3.76480642 	 -3.76480615
-2.84615385 	 -3.82808915 	 -3.82808888
-2.92307692 	 -3.88412041 	 -3.88412016
-3.00000000 	 -3.93335877 	 -3.93335853
-3.07692308 	 -3.97633758 	 -3.97633736
-3.15384615 	 -4.01363154 	 -4.01363114
-3.23076923 	 -4.04582467 	 -4.04582431
-3.30769231 	 -4.07349016 	 -4.07348984
-3.38461538 	 -4.09717305 	 -4.09717267
-3.46153846 	 -4.11737863 	 -4.11737829
-3.53846154 	 -4.13456920 	 -4.13456891
-3.61538462 	 -4.14915892 	 -4.14915867
-3.69230769 	 -4.16151575 	 -4.16151553
-3.76923077 	 -4.17196328 	 -4.17196291
-3.84615385 	 -4.18078363 	 -4.18078331
-3.92307692 	 -4.18822096 	 -4.18822062
-4.00000000 	 -4.19448504 	 -4.19448475
