f0           	 log10(rhophA) 	 log10(rhophB)
-3.70000000 	 -5.31095015 	 -5.31094992
-3.72051282 	 -5.31520193 	 -5.31520170
-3.74102564 	 -5.31927152 	 -5.31927109
-3.76153846 	 -5.32316635 	 -5.32316594
-3.78205128 	 -5.32689326 	 -5.32689286
-3.80256410 	 -5.33045883 	 -5.33045845
-3.82307692 	 -5.33387004 	 -5.33386967
-3.84358974 	 -5.33713279 	 -5.33713243
-3.86410256 	 -5.34025318 	 -5.34025284
-3.88461538 	 -5.34323687 	 -5.34323655
-3.90512821 	 -5.34609013 	 -5.34608982
-3.92564103 	 -5.34881765 	 -5.34881735
-3.94615385 	 -5.35142551 	 -5.35142522
-3.96666667 	 -5.35391810 	 -5.35391776
-3.98717949 	 -5.35630026 	 -5.35629993
-4.00769231 	 -5.35857706 	 -5.35857674
-4.02820513 	 -5.36075255 	 -5.36075225
-4.04871795 	 -5.36283162 	 -5.36283133
-4.06923077 	 -5.36481788 	 -5.36481760
-4.08974359 	 -5.36671531 	 -5.36671505
-4.11025641 	 -5.36852830 	 -5.36852805
-4.13076923 	 -5.37026009 	 -5.37025984
-4.15128205 	 -5.37191400 	 -5.37191377
-4.17179487 	 -5.37349423 	 -5.37349380
-4.19230769 	 -5.37500300 	 -5.37500259
-4.21282051 	 -5.37644401 	 -5.37644362
-4.23333333 	 -5.37781998 	 -5.37781961
-4.25384615 	 -5.37913399 	 -5.37913363
-4.27435897 	 -5.38038874 	 -5.38038840
-4.29487179 	 -5.38158672 	 -5.38158639
-4.31538462 	 -5.38273064 	 -5.38273032
-4.33589744 	 -5.38382251 	 -5.38382221
-4.35641026 	 -5.38486521 	 -5.38486497
-4.37692308 	 -5.38586037 	 -5.38586013
-4.39743590 	 -5.38681056 	 -5.38681033
-4.41794872 	 -5.38771745 	 -5.38771702
-4.43846154 	 -5.38858355 	 -5.38858314
-4.45897436 	 -5.38940972 	 -5.38940933
-4.47948718 	 -5.39019848 	 -5.39019810
-4.50000000 	 -5.39095149 	 -5.39095113
