f0           	 log10(rhophA) 	 log10(rhophB)
-1.00000000 	 -1.45383216 	 -1.45383176
-1.07692308 	 -1.53876570 	 -1.53876530
-1.15384615 	 -1.62467739 	 -1.62467698
-1.23076923 	 -1.71192887 	 -1.71192846
-1.30769231 	 -1.80095132 	 -1.80095089
-1.38461538 	 -1.89227370 	 -1.89227348
-1.46153846 	 -1.98656371 	 -1.98656348
-1.53846154 	 -2.08467162 	 -2.08467138
-1.61538462 	 -2.18766766 	 -2.18766741
-1.69230769 	 -2.29673532 	 -2.29673504
-1.76923077 	 -2.41238037 	 -2.41238007
-1.84615385 	 -2.53312800 	 -2.53312767
-1.92307692 	 -2.65662722 	 -2.65662686
-2.00000000 	 -2.78096656 	 -2.78096615
-2.07692308 	 -2.90458381 	 -2.90458347
-2.15384615 	 -3.02609569 	 -3.02609531
-2.23076923 	 -3.14423683 	 -3.14423642
-2.30769231 	 -3.25785119 	 -3.25785096
-2.38461538 	 -3.36591288 	 -3.36591264
-2.46153846 	 -3.46755797 	 -3.46755772
-2.53846154 	 -3.56211627 	 -3.56211600
-2.61538462 	 -3.64913321 	 -3.64913293
-2.69230769 	 -3.72837845 	 -3.72837817
-2.76923077 	 -3.79983601 	 -3.79983574
-2.84615385 	 -3.86368135 	 -3.86368108
-2.92307692 	 -3.92024722 	 -3.92024696
-3.00000000 	 -3.96998328 	 -3.96998305
-3.07692308 	 -4.01341876 	 -4.01341854
-3.15384615 	 -4.05112537 	 -4.05112497
-3.23076923 	 -4.08368768 	 -4.08368732
-3.30769231 	 -4.11167939 	 -4.11167907
-3.38461538 	 -4.13564835 	 -4.13564797
-3.46153846 	 -4.15610356 	 -4.15610322
-3.53846154 	 -4.17350959 	 -4.17350930
-3.61538462 	 -4.18828488 	 -4.18828463
-3.69230769 	 -4.20080095 	 -4.20080073
-3.76923077 	 -4.21138439 	 -4.21138402
-3.84615385 	 -4.22032034 	 -4.22032002
-3.92307692 	 -4.22785593 	 -4.22785559
-4.00000000 	 -4.23420332 	 -4.23420303
-4.05555556 	 -4.23815299 	 -4.23815273
-4.11111111 	 -4.24163904 	 -4.24163861
-4.16666667 	 -4.24471443 	 -4.24471404
-4.22222222 	 -4.24742678 	 -4.24742644
-4.27777778 	 -4.24981828 	 -4.24981797
-4.33333333 	 -4.25192614 	 -4.25192591
-4.38888889 	 -4.25378437 	 -4.25378397
-4.44444444 	 -4.25542129 	 -4.25542093
-4.50000000 	 -4.25686359 	 -4.25686333
