f0           	 log10(rhophA) 	 log10(rhophB)
-3.70000000 	 -4.50289129 	 -4.50289107
-3.72051282 	 -4.50614736 	 -4.50614694
-3.74102564 	 -4.50926074 	 -4.50926033
-3.76153846 	 -4.51223824 	 -4.51223785
-3.78205128 	 -4.51508490 	 -4.51508453
-3.80256410 	 -4.51780630 	 -4.51780594
-3.82307692 	 -4.52040816 	 -4.52040781
-3.84358974 	 -4.52289470 	 -4.52289437
-3.86410256 	 -4.52527156 	 -4.52527125
-3.88461538 	 -4.52754278 	 -4.52754248
-3.90512821 	 -4.52971323 	 -4.52971294
-3.92564103 	 -4.53178709 	 -4.53178682
-3.94615385 	 -4.53376867 	 -4.53376834
-3.96666667 	 -4.53566137 	 -4.53566105
-3.98717949 	 -4.53746980 	 -4.53746949
-4.00769231 	 -4.53919733 	 -4.53919704
-4.02820513 	 -4.54084710 	 -4.54084682
-4.04871795 	 -4.54242316 	 -4.54242289
-4.06923077 	 -4.54392808 	 -4.54392782
-4.08974359 	 -4.54536549 	 -4.54536524
-4.11025641 	 -4.54673806 	 -4.54673782
-4.13076923 	 -4.54804871 	 -4.54804828
-4.15128205 	 -4.54930025 	 -4.54929984
-4.17179487 	 -4.55049511 	 -4.55049472
-4.19230769 	 -4.55163597 	 -4.55163559
-4.21282051 	 -4.55272506 	 -4.55272470
-4.23333333 	 -4.55376506 	 -4.55376472
-4.25384615 	 -4.55475741 	 -4.55475708
-4.27435897 	 -4.55570513 	 -4.55570482
-4.29487179 	 -4.55660961 	 -4.55660931
-4.31538462 	 -4.55747322 	 -4.55747298
-4.33589744 	 -4.55829723 	 -4.55829699
-4.35641026 	 -4.55908399 	 -4.55908377
-4.37692308 	 -4.55983478 	 -4.55983435
-4.39743590 	 -4.56055132 	 -4.56055091
-4.41794872 	 -4.56123541 	 -4.56123502
-4.43846154 	 -4.56188803 	 -4.56188766
-4.45897436 	 -4.56251101 	 -4.56251066
-4.47948718 	 -4.56310525 	 -4.56310491
-4.50000000 	 -4.56367265 	 -4.56367239
