f0           	 log10(rhophA) 	 log10(rhophB)
-3.70000000 	 -4.21985643 	 -4.21985600
-3.72051282 	 -4.22282238 	 -4.22282197
-3.74102564 	 -4.22565847 	 -4.22565808
-3.76153846 	 -4.22836951 	 -4.22836913
-3.78205128 	 -4.23096120 	 -4.23096084
-3.80256410 	 -4.23343867 	 -4.23343832
-3.82307692 	 -4.23580620 	 -4.23580587
-3.84358974 	 -4.23806883 	 -4.23806851
-3.86410256 	 -4.24023095 	 -4.24023064
-3.88461538 	 -4.24229681 	 -4.24229651
-3.90512821 	 -4.24427060 	 -4.24427031
-3.92564103 	 -4.24615607 	 -4.24615573
-3.94615385 	 -4.24795732 	 -4.24795700
-3.96666667 	 -4.24967796 	 -4.24967764
-3.98717949 	 -4.25132139 	 -4.25132109
-4.00769231 	 -4.25289132 	 -4.25289104
-4.02820513 	 -4.25439036 	 -4.25439009
-4.04871795 	 -4.25582187 	 -4.25582161
-4.06923077 	 -4.25718914 	 -4.25718889
-4.08974359 	 -4.25849450 	 -4.25849426
-4.11025641 	 -4.25974115 	 -4.25974094
-4.13076923 	 -4.26093138 	 -4.26093096
-4.15128205 	 -4.26206743 	 -4.26206703
-4.17179487 	 -4.26315258 	 -4.26315220
-4.19230769 	 -4.26418810 	 -4.26418774
-4.21282051 	 -4.26517685 	 -4.26517651
-4.23333333 	 -4.26612072 	 -4.26612039
-4.25384615 	 -4.26702151 	 -4.26702119
-4.27435897 	 -4.26788163 	 -4.26788133
-4.29487179 	 -4.26870228 	 -4.26870203
-4.31538462 	 -4.26948590 	 -4.26948566
-4.33589744 	 -4.27023348 	 -4.27023326
-4.35641026 	 -4.27094737 	 -4.27094694
-4.37692308 	 -4.27162869 	 -4.27162828
-4.39743590 	 -4.27227872 	 -4.27227832
-4.41794872 	 -4.27289908 	 -4.27289871
-4.43846154 	 -4.27349107 	 -4.27349071
-4.45897436 	 -4.27405611 	 -4.27405577
-4.47948718 	 -4.27459519 	 -4.27459492
-4.50000000 	 -4.27510977 	 -4.27510952
