f0           	 log10(rhophA) 	 log10(rhophB)
-3.70000000 	 -4.47090475 	 -4.47090453
-3.72051282 	 -4.47412620 	 -4.47412578
-3.74102564 	 -4.47720683 	 -4.47720642
-3.76153846 	 -4.48015255 	 -4.48015216
-3.78205128 	 -4.48296893 	 -4.48296856
-3.80256410 	 -4.48566167 	 -4.48566131
-3.82307692 	 -4.48823553 	 -4.48823518
-3.84358974 	 -4.49069560 	 -4.49069527
-3.86410256 	 -4.49304665 	 -4.49304634
-3.88461538 	 -4.49529382 	 -4.49529352
-3.90512821 	 -4.49744088 	 -4.49744059
-3.92564103 	 -4.49949219 	 -4.49949191
-3.94615385 	 -4.50145247 	 -4.50145214
-3.96666667 	 -4.50332486 	 -4.50332454
-3.98717949 	 -4.50511337 	 -4.50511306
-4.00769231 	 -4.50682215 	 -4.50682186
-4.02820513 	 -4.50845417 	 -4.50845389
-4.04871795 	 -4.51001280 	 -4.51001253
-4.06923077 	 -4.51150159 	 -4.51150133
-4.08974359 	 -4.51292327 	 -4.51292302
-4.11025641 	 -4.51428069 	 -4.51428046
-4.13076923 	 -4.51557720 	 -4.51557678
-4.15128205 	 -4.51681503 	 -4.51681462
-4.17179487 	 -4.51799680 	 -4.51799641
-4.19230769 	 -4.51912498 	 -4.51912461
-4.21282051 	 -4.52020235 	 -4.52020199
-4.23333333 	 -4.52123066 	 -4.52123032
-4.25384615 	 -4.52221255 	 -4.52221222
-4.27435897 	 -4.52314957 	 -4.52314925
-4.29487179 	 -4.52404424 	 -4.52404394
-4.31538462 	 -4.52489796 	 -4.52489772
-4.33589744 	 -4.52571300 	 -4.52571277
-4.35641026 	 -4.52649098 	 -4.52649075
-4.37692308 	 -4.52723378 	 -4.52723335
-4.39743590 	 -4.52794224 	 -4.52794184
-4.41794872 	 -4.52861878 	 -4.52861839
-4.43846154 	 -4.52926415 	 -4.52926378
-4.45897436 	 -4.52988001 	 -4.52987966
-4.47948718 	 -4.53046813 	 -4.53046780
-4.50000000 	 -4.53102915 	 -4.53102889
