f0           	 log10(rhophA) 	 log10(rhophB)
-3.70000000 	 -5.05925430 	 -5.05925407
-3.72051282 	 -5.06316728 	 -5.06316706
-3.74102564 	 -5.06691156 	 -5.06691114
-3.76153846 	 -5.07049427 	 -5.07049386
-3.78205128 	 -5.07392102 	 -5.07392063
-3.80256410 	 -5.07719922 	 -5.07719885
-3.82307692 	 -5.08033437 	 -5.08033401
-3.84358974 	 -5.08333215 	 -5.08333180
-3.86410256 	 -5.08619881 	 -5.08619848
-3.88461538 	 -5.08893918 	 -5.08893886
-3.90512821 	 -5.09155910 	 -5.09155880
-3.92564103 	 -5.09406353 	 -5.09406324
-3.94615385 	 -5.09645705 	 -5.09645677
-3.96666667 	 -5.09874460 	 -5.09874426
-3.98717949 	 -5.10093032 	 -5.10093000
-4.00769231 	 -5.10301894 	 -5.10301863
-4.02820513 	 -5.10501453 	 -5.10501423
-4.04871795 	 -5.10692139 	 -5.10692110
-4.06923077 	 -5.10874268 	 -5.10874241
-4.08974359 	 -5.11048258 	 -5.11048231
-4.11025641 	 -5.11214457 	 -5.11214432
-4.13076923 	 -5.11373194 	 -5.11373170
-4.15128205 	 -5.11524792 	 -5.11524770
-4.17179487 	 -5.11669563 	 -5.11669521
-4.19230769 	 -5.11807856 	 -5.11807817
-4.21282051 	 -5.11939885 	 -5.11939846
-4.23333333 	 -5.12065954 	 -5.12065917
-4.25384615 	 -5.12186296 	 -5.12186261
-4.27435897 	 -5.12301222 	 -5.12301189
-4.29487179 	 -5.12410956 	 -5.12410924
-4.31538462 	 -5.12515718 	 -5.12515687
-4.33589744 	 -5.12615700 	 -5.12615670
-4.35641026 	 -5.12711176 	 -5.12711153
-4.37692308 	 -5.12802307 	 -5.12802285
-4.39743590 	 -5.12889292 	 -5.12889270
-4.41794872 	 -5.12972306 	 -5.12972265
-4.43846154 	 -5.13051589 	 -5.13051550
-4.45897436 	 -5.13127228 	 -5.13127190
-4.47948718 	 -5.13199397 	 -5.13199361
-4.50000000 	 -5.13268315 	 -5.13268280
