f0           	 log10(rhophA) 	 log10(rhophB)
-2.70000000 	 -5.06149277 	 -5.06149236
-2.75263158 	 -5.11147060 	 -5.11147020
-2.80526316 	 -5.15802503 	 -5.15802463
-2.85789474 	 -5.20119416 	 -5.20119377
-2.91052632 	 -5.24105371 	 -5.24105334
-2.96315789 	 -5.27771230 	 -5.27771193
-3.01578947 	 -5.31130409 	 -5.31130375
-3.06842105 	 -5.34198221 	 -5.34198188
-3.12105263 	 -5.36991359 	 -5.36991328
-3.17368421 	 -5.39527264 	 -5.39527235
-3.22631579 	 -5.41823786 	 -5.41823759
-3.27894737 	 -5.43898640 	 -5.43898615
-3.33157895 	 -5.45769373 	 -5.45769350
-3.38421053 	 -5.47452863 	 -5.47452820
-3.43684211 	 -5.48965299 	 -5.48965260
-3.48947368 	 -5.50321921 	 -5.50321885
-3.54210526 	 -5.51537197 	 -5.51537164
-3.59473684 	 -5.52624509 	 -5.52624479
-3.64736842 	 -5.53596227 	 -5.53596193
-3.70000000 	 -5.54463833 	 -5.54463803
-3.72051282 	 -5.54776071 	 -5.54776041
-3.74102564 	 -5.55074673 	 -5.55074645
-3.76153846 	 -5.55360217 	 -5.55360189
-3.78205128 	 -5.55633197 	 -5.55633170
-3.80256410 	 -5.55894194 	 -5.55894169
-3.82307692 	 -5.56143697 	 -5.56143673
-3.84358974 	 -5.56382153 	 -5.56382131
-3.86410256 	 -5.56610071 	 -5.56610029
-3.88461538 	 -5.56827888 	 -5.56827848
-3.90512821 	 -5.57036004 	 -5.57035966
-3.92564103 	 -5.57234893 	 -5.57234856
-3.94615385 	 -5.57424900 	 -5.57424865
-3.96666667 	 -5.57606410 	 -5.57606376
-3.98717949 	 -5.57779810 	 -5.57779777
-4.00769231 	 -5.57945434 	 -5.57945403
-4.02820513 	 -5.58103639 	 -5.58103610
-4.04871795 	 -5.58254760 	 -5.58254736
-4.06923077 	 -5.58399050 	 -5.58399027
-4.08974359 	 -5.58536884 	 -5.58536862
-4.11025641 	 -5.58668488 	 -5.58668445
-4.13076923 	 -5.58794169 	 -5.58794128
-4.15128205 	 -5.58914129 	 -5.58914090
-4.17179487 	 -5.59028701 	 -5.59028664
-4.19230769 	 -5.59138095 	 -5.59138059
-4.21282051 	 -5.59242531 	 -5.59242497
-4.23333333 	 -5.59342213 	 -5.59342187
-4.25384615 	 -5.59437408 	 -5.59437383
-4.27435897 	 -5.59528250 	 -5.59528225
-4.29487179 	 -5.59614977 	 -5.59614954
-4.31538462 	 -5.59697760 	 -5.59697738
-4.33589744 	 -5.59776802 	 -5.59776760
-4.35641026 	 -5.59852206 	 -5.59852165
-4.37692308 	 -5.59924188 	 -5.59924149
-4.39743590 	 -5.59992900 	 -5.59992864
-4.41794872 	 -5.55731181 	 -5.55731156
-4.43846154 	 -5.55932883 	 -5.55932859
-4.45897436 	 -5.56125807 	 -5.56125784
-4.47948718 	 -5.56310271 	 -5.56310249
-4.50000000 	 -5.56486624 	 -5.56486581
