f0           	 log10(rhophA) 	 log10(rhophB)
-2.70000000 	 -5.15480216 	 -5.15480176
-2.75263158 	 -5.20576987 	 -5.20576948
-2.80526316 	 -5.25332467 	 -5.25332428
-2.85789474 	 -5.29748844 	 -5.29748806
-2.91052632 	 -5.33832386 	 -5.33832349
-2.96315789 	 -5.37592890 	 -5.37592854
-3.01578947 	 -5.41042937 	 -5.41042902
-3.06842105 	 -5.44197191 	 -5.44197158
-3.12105263 	 -5.47071851 	 -5.47071820
-3.17368421 	 -5.49684178 	 -5.49684149
-3.22631579 	 -5.52051813 	 -5.52051785
-3.27894737 	 -5.54192557 	 -5.54192532
-3.33157895 	 -5.56123946 	 -5.56123923
-3.38421053 	 -5.57863107 	 -5.57863064
-3.43684211 	 -5.59426346 	 -5.59426306
-3.48947368 	 -5.60829273 	 -5.60829237
-3.54210526 	 -5.62086560 	 -5.62086527
-3.59473684 	 -5.63211904 	 -5.63211874
-3.64736842 	 -5.64217964 	 -5.64217930
-3.70000000 	 -5.65116479 	 -5.65116448
-3.72051282 	 -5.65439921 	 -5.65439892
-3.74102564 	 -5.65749253 	 -5.65749224
-3.76153846 	 -5.66045069 	 -5.66045042
-3.78205128 	 -5.66327958 	 -5.66327931
-3.80256410 	 -5.66598403 	 -5.66598377
-3.82307692 	 -5.66856955 	 -5.66856931
-3.84358974 	 -5.67104107 	 -5.67104084
-3.86410256 	 -5.67340344 	 -5.67340302
-3.88461538 	 -5.67566133 	 -5.67566093
-3.90512821 	 -5.67781912 	 -5.67781873
-3.92564103 	 -5.67988069 	 -5.67988032
-3.94615385 	 -5.68185058 	 -5.68185023
-3.96666667 	 -5.68373284 	 -5.68373250
-3.98717949 	 -5.68553086 	 -5.68553053
-4.00769231 	 -5.68724849 	 -5.68724818
-4.02820513 	 -5.68888913 	 -5.68888883
-4.04871795 	 -5.69045599 	 -5.69045575
-4.06923077 	 -5.69195277 	 -5.69195254
-4.08974359 	 -5.69338226 	 -5.69338204
-4.11025641 	 -5.69474736 	 -5.69474693
-4.13076923 	 -5.69605104 	 -5.69605063
-4.15128205 	 -5.69729564 	 -5.69729524
-4.17179487 	 -5.69848395 	 -5.69848357
-4.19230769 	 -5.69961872 	 -5.69961836
-4.21282051 	 -5.70070232 	 -5.70070198
-4.23333333 	 -5.70173647 	 -5.70173621
-4.25384615 	 -5.70272401 	 -5.70272376
-4.27435897 	 -5.70366650 	 -5.70366626
-4.29487179 	 -5.70456652 	 -5.70456628
-4.31538462 	 -5.70542543 	 -5.70542521
-4.33589744 	 -5.70624542 	 -5.70624500
-4.35641026 	 -5.70702780 	 -5.70702739
-4.37692308 	 -5.70777478 	 -5.70777439
-4.39743590 	 -5.70848772 	 -5.70848734
-4.41794872 	 -5.66469086 	 -5.66469060
-4.43846154 	 -5.66719477 	 -5.66719452
-4.45897436 	 -5.66959099 	 -5.66959076
-4.47948718 	 -5.67188422 	 -5.67188399
-4.50000000 	 -5.67407835 	 -5.67407792
