f0           	 log10(rhophA) 	 log10(rhophB)
-1.00000000 	 -2.28197477 	 -2.28197438
-1.19285714 	 -2.49163966 	 -2.49163926
-1.38571429 	 -2.70744629 	 -2.70744588
-1.57857143 	 -2.93508427 	 -2.93508405
-1.77142857 	 -3.18321974 	 -3.18321949
-1.96428571 	 -3.45786142 	 -3.45786112
-2.15714286 	 -3.73997626 	 -3.73997589
-2.35000000 	 -4.00152605 	 -4.00152572
-2.54285714 	 -4.22469097 	 -4.22469062
-2.73571429 	 -4.40183040 	 -4.40183005
-2.92857143 	 -4.53415946 	 -4.53415907
-3.12142857 	 -4.62845263 	 -4.62845231
-3.31428571 	 -4.69336754 	 -4.69336731
-3.50714286 	 -4.73699828 	 -4.73699795
-3.70000000 	 -4.76585254 	 -4.76585225
-3.72051282 	 -4.76826512 	 -4.76826484
-3.74102564 	 -4.77057077 	 -4.77057050
-3.76153846 	 -4.77277407 	 -4.77277382
-3.78205128 	 -4.77487951 	 -4.77487927
-3.80256410 	 -4.77689134 	 -4.77689111
-3.82307692 	 -4.77881364 	 -4.77881321
-3.84358974 	 -4.78065000 	 -4.78064959
-3.86410256 	 -4.78240410 	 -4.78240371
-3.88461538 	 -4.78407944 	 -4.78407907
-3.90512821 	 -4.78567982 	 -4.78567946
-3.92564103 	 -4.78720860 	 -4.78720826
-3.94615385 	 -4.78866825 	 -4.78866792
-3.96666667 	 -4.79006243 	 -4.79006212
-3.98717949 	 -4.79139374 	 -4.79139345
-4.00769231 	 -4.79266506 	 -4.79266481
-4.02820513 	 -4.79387879 	 -4.79387855
-4.04871795 	 -4.79503770 	 -4.79503748
-4.06923077 	 -4.79614413 	 -4.79614370
-4.08974359 	 -4.79720056 	 -4.79720016
-4.11025641 	 -4.79820929 	 -4.79820890
-4.13076923 	 -4.79917213 	 -4.79917176
-4.15128205 	 -4.80009098 	 -4.80009063
-4.17179487 	 -4.80096821 	 -4.80096787
-4.19230769 	 -4.80180575 	 -4.80180548
-4.21282051 	 -4.80260499 	 -4.80260474
-4.23333333 	 -4.80336782 	 -4.80336758
-4.25384615 	 -4.80409606 	 -4.80409583
-4.27435897 	 -4.80479089 	 -4.80479067
-4.29487179 	 -4.80545417 	 -4.80545375
-4.31538462 	 -4.80608711 	 -4.80608671
-4.33589744 	 -4.80669126 	 -4.80669087
-4.35641026 	 -4.80726800 	 -4.80726763
-4.37692308 	 -4.76668958 	 -4.76668933
-4.39743590 	 -4.76981526 	 -4.76981502
-4.41794872 	 -4.77280973 	 -4.77280950
-4.43846154 	 -4.77567811 	 -4.77567789
-4.45897436 	 -4.77700506 	 -4.77700464
-4.47948718 	 -4.77779707 	 -4.77779667
-4.50000000 	 -4.77855286 	 -4.77855247
